"Symbol","Description","Category2","GICS Sector","Market cap","Market Cap Weight","Index Weight","Dividend yield","Country","Action"
"UNH","Unitedhealth Group Inc","Common stocks","Health Care","$444,974,402,526","4.54%","9.55%","1.30%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Financials","$118,213,948,325","1.21%","7.13%","2.39%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Consumer Discretionary","$331,370,012,335","3.38%","6.36%","2.27%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Health Care","$141,070,338,378","1.44%","5.22%","2.82%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Consumer Discretionary","$194,854,052,228","1.99%","5.14%","2.09%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Industrials","$130,945,401,905","1.33%","4.92%","1.77%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Information Technology","$1,758,317,850,752","17.92%","4.60%","1.06%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Information Technology","$414,870,382,191","4.23%","4.31%","0.70%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Industrials","$137,315,092,664","1.40%","4.16%","1.81%","USA","Analyze"
"BA","Boeing","Common stocks","Industrials","$124,349,996,900","1.27%","4.13%","0.00%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Financials","$43,033,236,016","0.44%","3.70%","1.88%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Energy","$342,698,759,508","3.49%","3.41%","3.16%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Health Care","$443,834,737,124","4.52%","3.35%","2.54%","USA","Analyze"
"AXP","American Express","Common stocks","Financials","$112,398,742,132","1.15%","2.99%","1.33%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Consumer Staples","$347,082,300,446","3.54%","2.89%","2.37%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Information Technology","$145,450,000,000","1.48%","2.88%","0.00%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Information Technology","$126,948,382,629","1.29%","2.81%","4.44%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Consumer Staples","$379,817,319,605","3.87%","2.79%","1.53%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Financials","$400,587,791,554","4.08%","2.69%","2.77%","USA","Analyze"
"AAPL","Apple Inc","Common stocks","Information Technology","$2,141,214,359,730","21.83%","2.57%","0.67%","USA","Analyze"
"MMM","3M","Common stocks","Industrials","$67,849,192,816","0.69%","2.49%","4.53%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Consumer Discretionary","$197,230,800,000","2.01%","2.47%","0.97%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Health Care","$275,825,728,011","2.81%","2.15%","2.47%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Communication Services","$180,608,550,492","1.84%","1.92%","0.00%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Consumer Staples","$258,649,138,320","2.64%","1.18%","2.83%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Materials","$40,001,676,850","0.41%","1.13%","4.68%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Information Technology","$192,704,791,432","1.96%","0.94%","3.08%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Communication Services","$167,866,703,357","1.71%","0.81%","6.04%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Consumer Staples","$30,713,751,558","0.31%","0.71%","5.12%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Information Technology","$118,898,870,000","1.21%","0.58%","4.77%","USA","Analyze"
