"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$1,988,832,912,360","0.73%","0.00","0.00","0.00","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,657,655,067,218","1.14%","0.00","0.00","0.00","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,042,954,820,000","0.00%","0.00","0.00","0.00","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,042,954,820,000","0.00%","0.00","0.00","0.00","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$847,961,495,109","0.00%","0.00","0.00","0.00","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$690,082,573,833","0.00%","0.00","0.00","0.00","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$467,469,668,932","2.47%","0.00","0.00","0.00","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$457,793,671,807","1.30%","0.00","0.00","0.00","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$455,194,971,823","3.17%","0.00","0.00","0.00","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$399,085,420,506","0.74%","0.00","0.00","0.00","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$397,009,281,591","2.93%","0.00","0.00","0.00","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$395,836,311,926","1.52%","0.00","0.00","0.00","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$358,635,990,019","2.38%","0.00","0.00","0.00","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$355,198,500,000","0.11%","0.00","0.00","0.00","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$345,747,084,765","0.00%","0.00","0.00","0.00","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$341,468,600,000","0.00%","0.00","0.00","0.00","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$341,037,851,868","1.09%","0.00","0.00","0.00","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$338,850,818,801","3.20%","0.00","0.00","0.00","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$334,975,627,999","0.42%","0.00","0.00","0.00","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$322,954,980,973","2.39%","0.00","0.00","0.00","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$289,128,878,253","3.40%","0.00","0.00","0.00","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$288,122,398,485","2.44%","0.00","0.00","0.00","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$278,757,199,907","3.18%","0.00","0.00","0.00","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$273,324,266,383","2.50%","0.00","0.00","0.00","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$268,984,725,021","2.80%","0.00","0.00","0.00","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$243,992,300,914","2.53%","0.00","0.00","0.00","Analyze"
